INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |  Result:
INFO    |movements.movement                          |    delta_time: 0.0123 s
INFO    |movements.movement                          |    Steps per LCM period: 81
INFO    |movements.movement                          |Analytical optimization complete
INFO    |convergence                                 |Beginning convergence analysis
INFO    |convergence                                 |  Converging:
INFO    |convergence                                 |    cFX_W
INFO    |convergence                                 |    cFY_W
INFO    |convergence                                 |    cFZ_W
INFO    |convergence                                 |    cMX_W_Cg
INFO    |convergence                                 |    cMY_W_Cg
INFO    |convergence                                 |    cMZ_W_Cg
INFO    |convergence                                 |  Wake type: prescribed
INFO    |convergence                                 |    Cycles: 1
INFO    |convergence                                 |      Panel aspect ratio: 4
INFO    |convergence                                 |        Chordwise Panels: 3
INFO    |convergence                                 |          Iteration number: 1/96
INFO    |movements.movement                          |          Starting analytical delta_time optimization
INFO    |movements.movement                          |            Result:
INFO    |movements.movement                          |              delta_time: 0.0323 s
INFO    |movements.movement                          |              Steps per LCM period: 31
INFO    |movements.movement                          |          Analytical optimization complete
INFO    |movements.movement                          |          Starting delta_time optimization
INFO    |movements.movement                          |            Searching:
INFO    |movements.movement                          |              num_steps_per_lcm_cycle: 15 to 63
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 15
INFO    |movements.movement                          |              delta_time: 0.0667 s
INFO    |movements.movement                          |              Mismatch: 0.624
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 16
INFO    |movements.movement                          |              delta_time: 0.0625 s
INFO    |movements.movement                          |              Mismatch: 0.562
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 17
INFO    |movements.movement                          |              delta_time: 0.0588 s
INFO    |movements.movement                          |              Mismatch: 0.504
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 18
INFO    |movements.movement                          |              delta_time: 0.0556 s
INFO    |movements.movement                          |              Mismatch: 0.451
INFO    |movements.movement                          |            num_steps_per_lcm_cycle: 19
INFO    |movements.movement                          |              delta_time: 0.0526 s
